ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, location,text
1.41E+18,2Sherryazar1956,1992,1,,0,2475,0,NW Arkansas ,"RT @jimmichael720: Biden doesn't have the balls to rescue stranded Americans that Joe left behind in Afghanistan!!!

76 Days and counting.."
1.05E+18,TrueCrimePoli,652,8,,0,846,0,"Boston, MA","RT @ChrisStigall: Biden says

Biden says inflation is transitory 

Biden says the border is secure

Biden says the Afghanistan exit went"
1.36E+18,WintWahLwin15,118,162,,0,313,0,,"RT @ForeignPolicy: ""A U.S.-India alliance would give China pause before further expanding into Central and Southern Asia. And wed be build"
3617900175,england_donald,523,65,,0,263,2,"Florida, USA",RT @CoryMillsFL: While Bidens State Department focuses on gender neutral passports; Americans are still stranded in Afghanistan being hu
1.36E+18,Brenda18291262,280,314,,0,724,0,,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
22577886,schotts,18845,698,,0,18036,252,Colorado,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
27076983,TheProducteer,228,22,,0,147,33,,"RT @billroggio: The Biden administration was so desperate to get out of Afghanistan, now it is desperate to pour money into the country to"
1.14E+18,JaneSin98236872,779,314,,0,1029,0,,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
22008787,ChrisStigall,41555,8,,27,1447,296,In your grocer’s freezer ,"Biden says

Biden says inflation is transitory 

Biden says the border is secure

Biden says the Afghanistan exit https://t.co/EL1Xr1BAXw"
1.19E+18,GlenWoo44182792,69,308,,0,343,0,,"RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
1.37E+18,ShooterSharon,221,314,,0,184,0,,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
245515968,mari__zen,2016,22,,0,1750,11,Earth,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.27E+18,Allwaystruthfu1,76,22,,0,762,0,,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
4273842320,Shelby2Phillip,148,135,,0,152,0,,"RT @RepFranklin: A few weeks ago, the Biden Administration told us less than 100 Americans were stuck in Afghanistan. Now that number is 45"
3149729430,MirageNewsCom,515,1,,0,16,49,Australia,"Readout of #President Biden's Meeting with Prime #Minister ... 
https://t.co/iHdG3dhO8v
#Afghanistan https://t.co/x7rQEHWarg"
72994171,purpledalmation,476,11,,0,3223,1,,"RT @BenjySarlin: As of July, there were lots of happy headlines about bipartisan infrastructure, economy, and especially COVID decline. Sin"
473528903,becky_tull,2641,314,,0,4003,13,,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
8.69E+17,JohnCro67300259,57,15,,0,154,0,,RT @jihadwatchRS: How the Biden Administration Fakes theOnly 100 Americans Left in Afghanistan https://t.co/ej1RxhGqlv https://t.co/TZnM
1.37E+18,RogrRabbitsGirl,1459,22,,0,1908,0,Hopping down the bunny trail..,"RT @imUrB00gieman: How much is Joe Biden offering to pay the Americans he abandoned in Afghanistan???  $450,000 each?

https://t.co/FJ9pVj0"
1.11E+18,hollyh78,672,3,,0,706,0,Arkansas ,"RT @SoCalValleyGal: I never saw the funerals for those 13 Marines who were killed in Kabul in Afghanistan, did Joe Biden go to any of them?"
7.65E+17,Xpompier77,2064,115,,0,3118,2,"Yakima, WA","RT @NextRevFNC: .@SteveHiltonx: Instead of truth, Biden brought lies. Instead of unity, he brought division, chaos, and incompetence on eve"
1.42E+18,JD53724639,187,382,,0,571,0,,"RT @seanhannity: Historic inflation... rising gas prices... Americans in Afghanistan... crime... Border chaos... GDP at 2%... 

BIDEN to PR"
470754959,kyle_chap17,138,0,mehrdadnegahban,0,488,0,,@mehrdadnegahban @KelleyMac1 @AaronParnas @TerryMcAuliffe lol Biden was the one who let Bagram be taken over. Biden https://t.co/FUjOUGNqwf
1.16E+18,Retired_Cop1019,3274,314,,0,524,0,"New York, USA","RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
486717806,ConservaivGenie,96,0,,0,512,0,Near Gotham,"Q: Why arent US democrats showing as much concern for Afghanistans democracy as their concern for #Sudans?

A: B https://t.co/rdmFsSmDUk"
1.36E+18,GloriaJRomero,653,308,,0,1147,5,,"RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
1.26E+18,theJohnPM,45,308,,0,209,0,Obviously yamom’s,"RT @GOPChairwoman: Its been 30 days since Bidens answered a question about his border crisis.
 
41 days since hes answered a question on"
20715638,PhilDeCarolis,3468,64,,0,35,1266,"Southern California, U.S.","RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1398373813,CarlosAndinoJr,731,69,,0,504,13,Bayamón - Lewisville ,"RT @ForeignPolicy: Growing collusion between China and Pakistan poses serious security risks for both India and the United States, explain"
1.34E+18,Sandylo44879924,175,314,,0,494,0,,"RT @Chicago1Ray: If Illegals can file suit on the (U.S) Govt for being separated from their families 

Then the so the fuck can Americans t"
1126508846,bpbogel,191,64,,0,285,0,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.16E+18,Madison_OhioGOP,164,64,,0,18,2,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.15E+18,Kevin26346219,2510,0,,0,4952,1,"Nashville, TN",Intelligence agencies gave differing assessments to Biden and others over the strength of Afghanistans government https://t.co/GwfNbM8H4z
1.03E+18,_Crazytwist_,204,0,,0,690,2,"New York, USA","All the promises that Biden fooled you with.. AND YOU BELIEVED HIM
student debt
Jobs
Sick leave
Safe exit from Afgh https://t.co/g46tluofCZ"
